UF;IBGE;Adesão;NOME_MUNICIPIO;ENTIDADE
GO;520005;Sim;ABADIA DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE ABADIA DE GOIAS/GO
GO;520010;Não;ABADIÂNIA;
GO;520013;Sim;ACREUNA;SECRETARIA MUNICIPAL DE SAUDE DE ACREUNA/GO
GO;520015;Sim;ADELANDIA;SECRETARIA MUNICIPAL DE SAUDE DE ADELANDIA/GO
GO;520017;Sim;AGUA FRIA DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE AGUA FRIA DE GOIAS/GO
GO;520020;Sim;AGUA LIMPA;SECRETARIA MUNICIPAL DE SAUDE DE AGUA LIMPA/GO
GO;520025;Sim;AGUAS LINDAS DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE AGUAS LINDAS DE GOIAS/GO
GO;520030;Sim;ALEXANIA;SECRETARIA MUNICIPAL DE SAUDE DE ALEXANIA/GO
GO;520050;Sim;ALOANDIA;SECRETARIA MUNICIPAL DE SAUDE DE ALOANDIA/GO
GO;520055;Não;ALTO HORIZONTE;
GO;520060;Sim;ALTO PARAISO DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE ALTO PARAISO DE GOIAS/GO
GO;520080;Sim;ALVORADA DO NORTE;SECRETARIA MUNICIPAL DE SAUDE DE ALVORADA DO NORTE/GO
GO;520082;Não;AMARALINA;
GO;520085;Sim;AMERICANO DO BRASIL;SECRETARIA MUNICIPAL DE SAUDE DE AMERICANO DO BRASIL/GO
GO;520090;Não;AMORINÓPOLIS;
GO;520110;Sim;ANAPOLIS;SECRETARIA MUNICIPAL DE SAUDE DE ANAPOLIS/GO
GO;520120;Sim;ANHANGUERA;SECRETARIA MUNICIPAL DE SAUDE DE ANHANGUERA/GO
GO;520130;Sim;ANICUNS;SECRETARIA MUNICIPAL DE SAUDE DE ANICUNS/NVE
GO;520140;Sim;APARECIDA DE GOIANIA;SECRETARIA MUNICIPAL DE SAUDE DE APARECIDA DE GOIANIA/GO
GO;520145;Sim;APARECIDA DO RIO DOCE;SECRETARIA MUNICIPAL DE SAUDE DE APARECIDA DO RIO DOCE/GO
GO;520150;Sim;APORE;SECRETARIA MUNICIPAL DE SAUDE DE APORE/GO
GO;520160;Sim;ARACU;SECRETARIA MUNICIPAL DE SAUDE DE PARAISO DAS AGUAS/MS
GO;520170;Não;ARAGARÇAS;
GO;520180;Sim;ARAGOIANIA;SECRETARIA MUNICIPAL DE SAUDE DE ARAGOIANIA/GO
GO;520215;Sim;ARAGUAPAZ;SECRETARIA MUNICIPAL DE SAUDE DE ARAGUAPAZ/GO
GO;520235;Não;ARENÓPOLIS;
GO;520250;Sim;ARUANA;SECRETARIA MUNICIPAL DE SAUDE DE ARUANA/GO
GO;520260;Sim;AURILANDIA;SECRETARIA MUNICIPAL DE SAUDE DE AURILANDIA/GO
GO;520280;Sim;AVELINOPOLIS;SECRETARIA MUNICIPAL DE SAUDE DE AVELINOPOLIS/GO
GO;520310;Não;BALIZA;
GO;520320;Não;BARRO ALTO;
GO;520330;Sim;BELA VISTA DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE BELA VISTA DE GOIAS/GO
GO;520340;Não;BOM JARDIM DE GOIÁS;
GO;520350;Sim;BOM JESUS DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE BOM JESUS DE GOIAS/GO
GO;520355;Não;BONFINÓPOLIS;
GO;520357;Sim;BONOPOLIS;SECRETARIA MUNICIPAL DE SAUDE DE BONOPOLIS/GO
GO;520360;Sim;BRAZABRANTES;SECRETARIA MUNICIPAL DE SAUDE DE BRAZABRANTES/GO
GO;520380;Sim;BRITANIA;SECRETARIA MUNICIPAL DE SAUDE DE BRITANIA/GO
GO;520390;Sim;BURITI ALEGRE;SECRETARIA MUNICIPAL DE SAUDE DE BURITI ALEGRE/GO
GO;520393;Sim;BURITI DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE BURITI DE GOIAS/GO
GO;520396;Não;BURITINÓPOLIS;
GO;520400;Sim;CABECEIRAS;SECRETARIA MUNICIPAL DE SAUDE DE CABECEIRAS/GO
GO;520410;Sim;CACHOEIRA ALTA;SECRETARIA MUNICIPAL DE SAUDE DE CACHOEIRA ALTA/GO
GO;520420;Sim;CACHOEIRA DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE CACHOEIRA DE GOIAS/GO
GO;520425;Sim;CACHOEIRA DOURADA;SECRETARIA MUNICIPAL DE SAUDE DE CACHOEIRA DOURADA/GO
GO;520430;Sim;CACU;SECRETARIA MUNICIPAL DE SAUDE DE CACU/GO
GO;520440;Sim;CAIAPONIA;SECRETARIA MUNICIPAL DE SAUDE DE CAIAPONIA/GO
GO;520450;Sim;CALDAS NOVAS;SECRETARIA MUNICIPAL DE SAUDE DE CALDAS NOVAS/GO
GO;520455;Sim;CALDAZINHA;SECRETARIA MUNICIPAL DE SAUDE DE CALDAZINHA/GO
GO;520460;Sim;CAMPESTRE DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE CAMPESTRE DE GOIAS/GO
GO;520465;Sim;CAMPINACU;SECRETARIA MUNICIPAL DE SAUDE DE CAMPINACU/GO
GO;520470;Não;CAMPINORTE;
GO;520480;Sim;CAMPO ALEGRE DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE CAMPO ALEGRE DE GOIAS/GO
GO;520485;Sim;CAMPO LIMPO DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE CAMPO LIMPO/GO
GO;520490;Sim;CAMPOS BELOS;SECRETARIA MUNICIPAL DE SAUDE DE CAMPOS BELOS/GO
GO;520495;Sim;CAMPOS VERDES;SECRETARIA MUNICIPAL DE SAUDE DE CAMPOS VERDES/GO
GO;520500;Sim;CARMO DO RIO VERDE;SECRETARIA MUNICIPAL DE SAUDE DE CARMO DO RIO VERDE/GO
GO;520505;Sim;CASTELANDIA;SECRETARIA MUNICIPAL DE SAUDE DE CASTELANDIA/GO
GO;520510;Sim;CATALAO;SECRETARIA MUNICIPAL DE SAUDE DE CATALAO/GO
GO;520520;Sim;CATURAI;SECRETARIA MUNICIPAL DE SAUDE DE CATURAI/GO
GO;520530;Sim;CAVALCANTE;SECRETARIA MUNICIPAL DE SAUDE DE CAVALCANTE/GO
GO;520540;Sim;CERES;SECRETARIA MUNICIPAL DE SAUDE DE CERES/GO
GO;520545;Sim;CEZARINA;SECRETARIA MUNICIPAL DE SAUDE DE CEZARINA/GO
GO;520547;Sim;CHAPADAO DO CEU;SECRETARIA MUNICIPAL DE SAUDE DE CHAPADA DO CEU/GO
GO;520549;Sim;CIDADE OCIDENTAL;SECRETARIA MUNICIPAL DE SAUDE DE CIDADE OCIDENTAL/GO
GO;520551;Sim;COCALZINHO DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE COCALZINHO/GO
GO;520552;Não;COLINAS DO SUL;
GO;520570;Sim;CORREGO DO OURO;SECRETARIA MUNICIPAL DE SAUDE DE CORREGO DO OURO/GO
GO;520580;Sim;CORUMBA DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE CORUMBA DE GOIAS/GO
GO;520590;Não;CORUMBAÍBA;
GO;520620;Sim;CRISTALINA;SECRETARIA MUNICIPAL DE SAUDE DE CRISTALINA/GO
GO;520630;Não;CRISTIANÓPOLIS;
GO;520640;Sim;CRIXAS;SECRETARIA MUNICIPAL DE SAUDE DE CRIXAS/GO
GO;520650;Sim;CROMINIA;SECRETARIA MUNICIPAL DE SAUDE DE CROMINIA/GO
GO;520660;Sim;CUMARI;SECRETARIA MUNICIPAL DE SAUDE DE CUMARI/GO
GO;520670;Não;DAMIANÓPOLIS;
GO;520680;Sim;DAMOLANDIA;SECRETARIA MUNICIPAL DE SAUDE DE DAMOLANDIA/GO
GO;520690;Não;DAVINÓPOLIS;
GO;520710;Não;DIORAMA;
GO;520725;Sim;DOVERLANDIA;SECRETARIA MUNICIPAL DE SAUDE DE DOVERLANDIA/GO
GO;520735;Sim;EDEALINA;SECRETARIA MUNICIPAL DE SAUDE DE VERA/MT
GO;520740;Sim;EDEIA;SECRETARIA MUNICIPAL DE SAUDE DE EDEIA/GO
GO;520750;Sim;ESTRELA DO NORTE;SECRETARIA MUNICIPAL DE SAUDE DE ESTRELA DO NORTE/GO
GO;520753;Sim;FAINA;SECRETARIA MUNICIPAL DE SAUDE DE FAINA/GO
GO;520760;Não;FAZENDA NOVA;
GO;520780;Sim;FIRMINOPOLIS;SECRETARIA MUNICIPAL DE SAUDE DE FIRMINOPOLIS/GO
GO;520790;Sim;FLORES DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE FLORES DE GOIAS/GO
GO;520800;Sim;FORMOSA;SECRETARIA MUNICIPAL DE SAUDE DE FORMOSA/GO
GO;520810;Sim;FORMOSO;SECRETARIA MUNICIPAL DE SAUDE DE FORMOSO/GO
GO;520815;Sim;GAMELEIRA DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE TESOURO/MT
GO;520830;Sim;DIVINOPOLIS DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE DIVINOPOLIS DE GOIAS/GO
GO;520840;Sim;GOIANAPOLIS;SECRETARIA MUNICIPAL DE SAUDE DE TAQUARAL DE GOIAS/GO
GO;520850;Sim;GOIANDIRA;SECRETARIA MUNICIPAL DE SAUDE DE GOIANDIRA/GO
GO;520860;Sim;GOIANESIA;SECRETARIA MUNICIPAL DE SAUDE DE TANGARA DA SERRA/MT
GO;520870;Sim;GOIANIA;SECRETARIA MUNICIPAL DE SAUDE DE GOIANIA/GO
GO;520880;Sim;GOIANIRA;SECRETARIA MUNICIPAL DE SAUDE DE GOIANIRA/GO
GO;520890;Sim;GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE ITAPIRAPUA/GO
GO;520910;Sim;GOIATUBA;SECRETARIA MUNICIPAL DE SAUDE DE GOIATUBA/GO
GO;520915;Sim;GOUVELANDIA;SECRETARIA MUNICIPAL DE SAUDE DE GOUVELANDIA/GO
GO;520920;Sim;GUAPO;SECRETARIA MUNICIPAL DE SAUDE DE GUAPO/GO
GO;520929;Sim;GUARAITA;SECRETARIA MUNICIPAL DE SAUDE DE GUARAITA/GO
GO;520940;Não;GUARANI DE GOIÁS;
GO;520945;Sim;GUARINOS;SECRETARIA MUNICIPAL DE SAUDE DE GUARINOS/GO
GO;520960;Sim;HEITORAI;SECRETARIA MUNICIPAL DE SAUDE DE HEITORAI/GO
GO;520970;Sim;HIDROLANDIA;SECRETARIA MUNICIPAL DE SAUDE DE HIDROLANDIA/GO
GO;520980;Não;HIDROLINA;
GO;520990;Não;IACIARA;
GO;520993;Sim;INACIOLANDIA;SECRETARIA MUNICIPAL DE SAUDE DE INACIOLANDIA/GO
GO;520995;Sim;INDIARA;SECRETARIA MUNICIPAL DE SAUDE DE INDIARA/GO
GO;521000;Sim;INHUMAS;SECRETARIA MUNICIPAL DE SAUDE DE INHUMAS/GO
GO;521010;Sim;IPAMERI;SECRETARIA MUNICIPAL DE SAUDE DE IPAMERI/GO
GO;521015;Sim;IPIRANGA DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE IPIRANGA DE GOIAS/GO
GO;521020;Não;IPORÁ;
GO;521030;Não;ISRAELÂNDIA;
GO;521040;Sim;ITABERAI;SECRETARIA MUNICIPAL DE SAUDE DE ITABERAI/GO
GO;521056;Sim;ITAGUARI;SECRETARIA MUNICIPAL DE SAUDE DE ITAGUARI/GO
GO;521060;Sim;ITAGUARU;SECRETARIA MUNICIPAL DE SAUDE DE ITAGUARU/GO
GO;521080;Sim;ITAJA;SECRETARIA MUNICIPAL DE SAUDE DE ITAJA/GO
GO;521090;Sim;ITAPACI;SECRETARIA MUNICIPAL DE SAUDE DE ITAPACI/GO
GO;521100;Sim;ITAPIRAPUA;SECRETARIA MUNICIPAL DE SAUDE DE JARAGUA/GO
GO;521120;Sim;ITAPURANGA;SECRETARIA MUNICIPAL DE SAUDE DE ITAPURANGA/GO
GO;521130;Sim;ITARUMA;SECRETARIA MUNICIPAL DE SAUDE DE ITARUMA/GO
GO;521140;Não;ITAUÇU;
GO;521150;Sim;ITUMBIARA;SECRETARIA MUNICIPAL DE SAUDE DE ITUMBIARA/GO
GO;521160;Não;IVOLÂNDIA;
GO;521170;Sim;JANDAIA;SECRETARIA MUNICIPAL DE SAUDE DE GOIANESIA/GO
GO;521180;Sim;JARAGUA;SECRETARIA MUNICIPAL DE SAUDE DE JANDAIA/GO
GO;521190;Sim;JATAI;SECRETARIA MUNICIPAL DE SAUDE DE JATAI/GO
GO;521200;Não;JAUPACI;
GO;521205;Sim;JESUPOLIS;SECRETARIA MUNICIPAL DE SAUDE DE JESUPOLIS/GO
GO;521210;Sim;JOVIANIA;SECRETARIA MUNICIPAL DE SAUDE DE JOVIANIA/GO
GO;521220;Sim;JUSSARA;SECRETARIA MUNICIPAL DE SAUDE DE JUSSARA/GO
GO;521225;Sim;LAGOA SANTA;SECRETARIA MUNICIPAL DE SAUDE DE LAGOA SANTA/GO
GO;521230;Não;LEOPOLDO DE BULHÕES;
GO;521250;Sim;LUZIANIA;SECRETARIA MUNICIPAL DE SAUDE DE LUZIANIA/GO
GO;521260;Não;MAIRIPOTABA;
GO;521270;Não;MAMBAÍ;
GO;521280;Não;MARA ROSA;
GO;521290;Sim;MARZAGAO;SECRETARIA MUNICIPAL DE SAUDE DE MARZAGAO/GO
GO;521295;Sim;MATRINCHA;SECRETARIA MUNICIPAL DE SAUDE DE MATRINCHA/GO
GO;521300;Sim;MAURILANDIA;SECRETARIA MUNICIPAL DE SAUDE DE MAURILANDIA/GO
GO;521305;Não;MIMOSO DE GOIÁS;
GO;521308;Sim;MINACU;SECRETARIA MUNICIPAL DE SAUDE DE MINACU/GO
GO;521310;Sim;MINEIROS;SECRETARIA MUNICIPAL DE SAUDE DE MINEIROS/GO
GO;521340;Não;MOIPORÁ;
GO;521350;Sim;MONTE ALEGRE DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE MONTE ALEGRE DE GOIAS/GO
GO;521370;Não;MONTES CLAROS DE GOIÁS;
GO;521375;Sim;MONTIVIDIU;SECRETARIA MUNICIPAL DE SAUDE DE MONTIVIDIU/GO
GO;521377;Não;MONTIVIDIU DO NORTE;
GO;521380;Sim;MORRINHOS;SECRETARIA MUNICIPAL DE SAUDE DE MORRINHOS/GO
GO;521385;Sim;MORRO AGUDO DE GOIAS;SECRETARIA MUNICIPAL DE SAUDE DE MORRO AGUDO DE GOIAS/GO
GO;521390;Sim;MOSSAMEDES;SECRETARIA MUNICIPAL DE SAUDE DE MOSSAMEDES/GO
GO;521400;Sim;MOZARLANDIA;SECRETARIA MUNICIPAL DE SAUDE DE MOZARLANDIA/GO
GO;521405;Sim;MUNDO NOVO;SECRETARIA MUNICIPAL DE SAUDE DE MUNDO NOVO/GO
GO;521410;Sim;MUTUNOPOLIS;SECRETARIA MUNICIPAL DE SAUDE DE MUTUNOPOLIS/GO
