UF;IBGE;NOME_MUNICIPIO;ENTIDADE;Adesão;;;;;
CE;230010;ABAIARA;SECRETARIA MUNICIPAL DE SAUDE DE ABAIARA/CE;Sim;;;;;
CE;230010;ABAIARA;;Não;;;;;
BA;290010;ABAÍRA;;Não;;;;;
BA;290020;ABARE;SECRETARIA MUNICIPAL DE SAUDE DE ABARE/BA;Sim;;;;;
BA;290020;ABARÉ;;Não;;;;;
PE;260005;ABREU E LIMA;;Não;;;;;
MA;210005;ACAILANDIA;SECRETARIA MUNICIPAL DE SAUDE DE ACAILANDIA/MA;Sim;;;;;
MA;210005;AÇAILÂNDIA;;Não;;;;;
BA;290030;ACAJUTIBA;;Não;;;;;
CE;230015;ACARAPE;;Não;;;;;
CE;230020;ACARAU;SECRETARIA MUNICIPAL DE SAUDE DE ACARAU/CE;Sim;;;;;
CE;230020;ACARAÚ;;Não;;;;;
RN;240010;ACARI;;Não;;;;;
PI;220005;ACAUÃ;;Não;;;;;
CE;230030;ACOPIARA;SECRETARIA MUNICIPAL DE SAUDE DE ACOPIARA/CE;Sim;;;;;
CE;230030;ACOPIARA;;Não;;;;;
RN;240020;AÇU;;Não;;;;;
BA;290035;ADUSTINA;;Não;;;;;
PE;260010;AFOGADOS DA INGAZEIRA;;Não;;;;;
RN;240030;AFONSO BEZERRA;;Não;;;;;
MA;210010;AFONSO CUNHA;SECRETARIA MUNICIPAL DE SAUDE DE AFONSO CUNHA/MA;Sim;;;;;
MA;210010;AFONSO CUNHA;;Não;;;;;
PE;260020;AFRANIO;SECRETARIA MUNICIPAL DE SAUDE DE AFRANIO/PE;Sim;;;;;
PE;260020;AFRÂNIO;;Não;;;;;
PE;260030;AGRESTINA;SECRETARIA MUNICIPAL DE SAUDE DE AGRESTINA/PE;Sim;;;;;
PE;260030;AGRESTINA;;Não;;;;;
PI;220010;AGRICOLÂNDIA;;Não;;;;;
PB;250010;AGUA BRANCA;SECRETARIA MUNICIPAL DE SAUDE AGUA BRANCA/PB;Sim;;;;;
AL;270010;AGUA BRANCA;SECRETARIA MUNICIPAL DE SAUDE DE AGUA BRANCA/AL;Sim;;;;;
PI;220020;ÁGUA BRANCA;;Não;;;;;
PB;250010;ÁGUA BRANCA;;Não;;;;;
AL;270010;ÁGUA BRANCA;;Não;;;;;
MA;210015;ÁGUA DOCE DO MARANHÃO;;Não;;;;;
BA;290040;ÁGUA FRIA;;Não;;;;;
RN;240040;ÁGUA NOVA;;Não;;;;;
PE;260040;ÁGUA PRETA;;Não;;;;;
PE;260050;AGUAS BELAS;SECRETARIA MUNICIPAL DE SAUDE DE AGUAS BELAS/PE;Sim;;;;;
PE;260050;ÁGUAS BELAS;;Não;;;;;
PB;250020;AGUIAR;SECRETARIA MUNICIPAL DE SAUDE AGUIAR/PB;Sim;;;;;
PB;250020;AGUIAR;;Não;;;;;
BA;290060;AIQUARA;SECRETARIA MUNICIPAL DE SAUDE DE AIQUARA/BA;Sim;;;;;
BA;290060;AIQUARA;;Não;;;;;
CE;230040;AIUABA;SECRETARIA MUNICIPAL DE SAUDE DE AIUABA/CE;Sim;;;;;
CE;230040;AIUABA;;Não;;;;;
PB;250030;ALAGOA GRANDE;SECRETARIA MUNICIPAL DE SAUDE ALAGOA GRANDE/PB;Sim;;;;;
PB;250030;ALAGOA GRANDE;;Não;;;;;
PB;250040;ALAGOA NOVA;SECRETARIA MUNICIPAL DE SAUDE DE ALAGOA NOVA/PB;Sim;;;;;
PB;250040;ALAGOA NOVA;;Não;;;;;
