UF;IBGE;Adesão;NOME_MUNICIPIO;ENTIDADE
ES;320010;Sim;AFONSO CLAUDIO;SECRETARIA MUNICIPAL DE SAUDE DE BREJETUBA/ES
ES;320013;Não;ÁGUIA BRANCA;
ES;320016;Não;ÁGUA DOCE DO NORTE;
ES;320020;Não;ALEGRE;
ES;320030;Não;ALFREDO CHAVES;
ES;320035;Sim;ALTO RIO NOVO;SECRETARIA MUNICIPAL DE SAUDE DE JEQUITINHONHA/MG
ES;320040;Sim;ANCHIETA;SECRETARIA MUNICIPAL DE SAUDE DE BRUMADINHO/MG
ES;320050;Sim;APIACA;SECRETARIA MUNICIPAL DE SAUDE DE FRONTEIRA DOS VALES/MG
ES;320060;Não;ARACRUZ;
ES;320070;Não;ATILIO VIVACQUA;
ES;320080;Não;BAIXO GUANDU;
ES;320090;Não;BARRA DE SÃO FRANCISCO;
ES;320100;Sim;BOA ESPERANCA;SECRETARIA MUNICIPAL DE SAUDE DE BUENOPOLIS/MG
ES;320110;Não;BOM JESUS DO NORTE;
ES;320115;Sim;BREJETUBA;SECRETARIA MUNICIPAL DE SAUDE DE MATUTINA/MG
ES;320120;Sim;CACHOEIRO DE ITAPEMIRIM;SECRETARIA MUNICIPAL DE SAUDE DE GUAREI - CMRF
ES;320130;Sim;CARIACICA;SECRETARIA MUNICIPAL DE SAUDE DE IACRI - CS III JOSUE JORGE DE ANDRADE
ES;320140;Sim;CASTELO;SECRETARIA MUNICIPAL DE SAUDE DE CASTELO/ES
ES;320150;Não;COLATINA;
ES;320160;Não;CONCEIÇÃO DA BARRA;
ES;320170;Não;CONCEIÇÃO DO CASTELO;
ES;320180;Sim;DIVINO DE SAO LOURENCO;SECRETARIA MUNICIPAL DE SAUDE DE SANTA CRUZ DA ESPERANCA
ES;320190;Sim;DOMINGOS MARTINS;SECRETARIA MUNICIPAL DE SAUDE DE SAO JOAO DE IRACEMA - UBS JOAO ROBERTO
ES;320200;Sim;DORES DO RIO PRETO;SECRETARIA MUNICIPAL DE SAUDE DE POUSO ALEGRE/MG
ES;320210;Não;ECOPORANGA;
ES;320220;Sim;FUNDAO;SECRETARIA MUNICIPAL DE SAUDE DE ALVARO DE CARVALHO - CS
ES;320225;Não;GOVERNADOR LINDENBERG;
ES;320230;Não;GUAÇUÍ;
ES;320240;Sim;GUARAPARI;SECRETARIA MUNICIPAL DE SAUDE DE GUARAPARI/ES
ES;320245;Sim;IBATIBA;SECRETARIA MUNICIPAL DE SAUDE DE ONCA DE PITANGUI/MG
