UF;IBGE;NOME_MUNICIPIO;ENTIDADE;Adesão
MG;310010;ABADIA DOS DOURADOS;SECRETARIA MUNICIPAL DE SAUDE DE CONGONHAS DO NORTE/MG;Sim
MG;310020;ABAETE;SECRETARIA MUNICIPAL DE SAUDE DE ABAETE/MG;Sim
MG;310020;ABAETÉ;SECRETARIA MUNICIPAL DE SAUDE DE LEME DO PRADO/MG;Sim
MG;310030;ABRE CAMPO;SECRETARIA MUNICIPAL DE SAUDE DE INHAPIM/MG;Sim
MG;310040;ACAIACA;;Não
MG;310050;AÇUCENA;;Não
SP;350010;ADAMANTINA;SECRETARIA MUNICIPAL DE SAUDE DE ADAMANTINA;Sim
SP;350010;ADAMANTINA;;Não
SP;350020;ADOLFO;SECRETARIA MUNICIPAL DE SAUDE DE SANTA GERTRUDES - POLICLINICA MANOEL WENDELL;Sim
SP;350020;ADOLFO;;Não
ES;320010;AFONSO CLAUDIO;SECRETARIA MUNICIPAL DE SAUDE DE BREJETUBA/ES;Sim
ES;320010;AFONSO CLÁUDIO;;Não
MG;310060;ÁGUA BOA;;Não
MG;310070;AGUA COMPRIDA;SECRETARIA MUNICIPAL DE SAUDE DE CORONEL MACEDO - ESF SEBASTIAO MACEDO;Sim
MG;310070;ÁGUA COMPRIDA;;Não
ES;320016;ÁGUA DOCE DO NORTE;;Não
SP;350030;AGUAI;SECRETARIA MUNICIPAL DE SAUDE DE AGUAI;Sim
SP;350030;AGUAÍ;;Não
MG;310080;AGUANIL;SECRETARIA MUNICIPAL DE SAUDE DE OUROESTE - UBS NELSON RODRIGUES;Sim
MG;310080;AGUANIL;;Não
SP;350040;AGUAS DA PRATA;SECRETARIA MUNICIPAL DE SAUDE DE AGUAS DA PRATA - UIS LEOPOLDO DE ARAUJO;Sim
SP;350040;ÁGUAS DA PRATA;;Não
SP;350050;AGUAS DE LINDOIA;SECRETARIA MUNICIPAL DE SAUDE DE AGUAS DE LINDOIA;Sim
SP;350050;ÁGUAS DE LINDÓIA;;Não
SP;350055;AGUAS DE SANTA BARBARA;SECRETARIA MUNICIPAL DE SAUDE DE AGUAS DE SANTA BARBARA - UBS;Sim
SP;350055;ÁGUAS DE SANTA BÁRBARA;;Não
SP;350060;AGUAS DE SAO PEDRO;SECRETARIA MUNICIPAL DE SAUDE DE IRAPUA - UBS MARIO EVARISTO TADEI;Sim
SP;350060;ÁGUAS DE SÃO PEDRO;;Não
MG;310090;AGUAS FORMOSAS;SECRETARIA MUNICIPAL DE SAUDE DE CRUZEIRO;Sim
MG;310090;ÁGUAS FORMOSAS;;Não
MG;310100;AGUAS VERMELHAS;SECRETARIA MUNICIPAL DE SAUDE DE CORUMBATAI - POSTO DE SAUDE ANDRE GIMENE;Sim
MG;310100;ÁGUAS VERMELHAS;;Não
SP;350070;AGUDOS;SECRETARIA MUNICIPAL DE SAUDE AGUDOS - CS II DR JACOB CASSEB;Sim
SP;350070;AGUDOS;;Não
ES;320013;ÁGUIA BRANCA;;Não
MG;310110;AIMORÉS;;Não
MG;310120;AIURUOCA;;Não
MG;310130;ALAGOA;SECRETARIA MUNICIPAL DE SAUDE DE ALAGOA/MG;Sim
MG;310130;ALAGOA;;Não
SP;350075;ALAMBARI;SECRETARIA MUNICIPAL DE SAUDE DE ALAMBARI - UBS CENTRAL;Sim
SP;350075;ALAMBARI;;Não
MG;310140;ALBERTINA;;Não
ES;320020;ALEGRE;;Não
MG;310150;ALEM PARAIBA;SECRETARIA MUNICIPAL DE SAUDE DE ALEM PARAIBA/MG;Sim
MG;310150;ALÉM PARAÍBA;;Não
MG;310160;ALFENAS;;Não
ES;320030;ALFREDO CHAVES;;Não
SP;350080;ALFREDO MARCONDES;SECRETARIA MUNICIPAL DE SAUDE DE SETUBINHA/MG;Sim
SP;350080;ALFREDO MARCONDES;;Não
MG;310163;ALFREDO VASCONCELOS;SECRETARIA MUNICIPAL DE SAUDE DE PERDIGAO/MG;Sim
MG;310163;ALFREDO VASCONCELOS;;Não
MG;310170;ALMENARA;;Não
MG;310180;ALPERCATA;;Não
MG;310190;ALPINOPOLIS;SECRETARIA MUNICIPAL DE SAUDE DE SAO TIAGO/MG;Sim
MG;310190;ALPINÓPOLIS;;Não
