UF;IBGE;NOME_MUNICIPIO;ENTIDADE;Adesão
PR;410010;ABATIA;SECRETARIA MUNICIPAL DE SAUDE DE ABATIA/PR;Sim
PR;410010;ABATIÁ;;Não
SC;420005;ABDON BATISTA;SECRETARIA MUNICIPAL DE SAUDE DE ABDON BATISTA/SC;Sim
SC;420005;ABDON BATISTA;;Não
SC;420010;ABELARDO LUZ;SECRETARIA MUNICIPAL DE SAUDE DE ABELARDO LUZ/SC;Sim
SC;420010;ABELARDO LUZ;;Não
RS;430003;ACEGUA;SECRETARIA MUNICIPAL DE SAUDE DE ACEGUA/RS;Sim
RS;430003;ACEGUÁ;;Não
PR;410020;ADRIANOPOLIS;SECRETARIA MUNICIPAL DE SAUDE DE ADRIANOPOLIS/PR;Sim
PR;410020;ADRIANÓPOLIS;;Não
SC;420020;AGROLANDIA;SECRETARIA MUNICIPAL DE SAUDE DE AGROLANDIA/SC;Sim
SC;420020;AGROLÂNDIA;;Não
SC;420030;AGRONOMICA;SECRETARIA MUNICIPAL DE SAUDE DE AGRONOMICA/SC;Sim
SC;420030;AGRONÔMICA;;Não
SC;420040;AGUA DOCE;SECRETARIA MUNICIPAL DE SAUDE DE AGUA DOCE/SC;Sim
SC;420040;ÁGUA DOCE;;Não
RS;430005;AGUA SANTA;SECRETARIA MUNICIPAL DE SAUDE DE AGUA SANTA/RS;Sim
RS;430005;ÁGUA SANTA;;Não
SC;420050;AGUAS DE CHAPECO;SECRETARIA MUNICIPAL DE SAUDE DE AGUAS DE CHAPECO/SC;Sim
SC;420050;ÁGUAS DE CHAPECÓ;;Não
SC;420055;AGUAS FRIAS;SECRETARIA MUNICIPAL DE SAUDE DE AGUAS FRIAS/SC;Sim
SC;420055;ÁGUAS FRIAS;;Não
SC;420060;AGUAS MORNAS;SECRETARIA MUNICIPAL DE SAUDE DE AGUAS MORNAS/SC;Sim
SC;420060;ÁGUAS MORNAS;;Não
RS;430010;AGUDO;SECRETARIA MUNICIPAL DE SAUDE DE AGUDO/RS;Sim
RS;430010;AGUDO;;Não
PR;410030;AGUDOS DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE AGUDOS DO SUL/PR;Sim
PR;410030;AGUDOS DO SUL;;Não
RS;430020;AJURICABA;SECRETARIA MUNICIPAL DE SAUDE DE AJURICABA/RS;Sim
RS;430020;AJURICABA;;Não
RS;430030;ALECRIM;SECRETARIA MUNICIPAL DE SAUDE DE ALECRIM/RS;Sim
RS;430030;ALECRIM;;Não
RS;430040;ALEGRETE;;Não
RS;430045;ALEGRIA;SECRETARIA MUNICIPAL DE SAUDE DE ALEGRIA/RS;Sim
RS;430045;ALEGRIA;;Não
SC;420070;ALFREDO WAGNER;SECRETARIA MUNICIPAL DE SAUDE DE ALFREDO WAGNER/SC;Sim
SC;420070;ALFREDO WAGNER;;Não
PR;410040;ALMIRANTE TAMANDARÉ;;Não
RS;430047;ALMIRANTE TAMANDARE DO SUL;SECRETARIA MUNICIPAL DE SAUDE ALMIRANTE TAMANDARE DO SUL/RS;Sim
RS;430047;ALMIRANTE TAMANDARÉ DO SUL;;Não
